ORIGIN,DEST,CANCELLED,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,18,0,11,0,2
ABQ,LAX,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,0,0,17,0,0
ABQ,SFO,0,0,3,0,12,0,0
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,0,0,0,0,59
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,0,0,50,0,8
ABQ,SFO,0,0,0,0,45,0,0
ABQ,SFO,0,0,0,0,52,0,9
ABQ,SFO,0,0,0,0,26,0,0
ABQ,SFO,0,0,0,0,90,0,4
ABQ,SFO,0,0,0,0,15,0,0
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,0,0,0,0,41
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,SFO,0,0,,,,,
ABQ,LAX,0,0,15,0,5,0,0
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,0,0,15,0,0
ABQ,LAX,0,0,0,0,20,0,0
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,0,0,0,0,18
ABQ,LAX,0,0,0,0,18,0,0
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,6,0,13,0,4
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,0,0,0,0,209
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,53,0,0,0,0
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,0,0,0,0,145
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,0,0,7,0,20
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,OAK,0,0,4,0,0,0,11
ABQ,OAK,0,0,0,0,0,0,22
ABQ,SAN,0,0,,,,,
ABQ,SAN,0,0,65,0,0,0,13
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,24,0,6,0,18
ABQ,LAX,0,0,,,,,
ABQ,OAK,0,0,,,,,
ABQ,OAK,0,0,3,0,0,0,36
ABQ,OAK,0,0,,,,,
ABQ,SAN,0,0,11,0,0,0,49
ABQ,SAN,0,0,,,,,
ABQ,LAX,0,0,,,,,
ABQ,LAX,0,0,19,0,0,0,11
ABQ,LAX,0,0,19,0,0,0,0
ABQ,OAK,0,0,,,,,
ABQ,OAK,0,0,16,0,0,0,52
ABQ,OAK,0,0,33,0,0,0,2
ABQ,SAN,0,0,,,,,
ABQ,SAN,0,0,16,0,0,0,6
