ORIGIN,DEST,CANCELLED,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,ARR_DELAY
ABQ,LAX,0,0,,,,,,12
ABQ,LAX,0,0,18,0,11,0,2,31
ABQ,LAX,0,0,,,,,,10
ABQ,SFO,0,0,,,,,,-3
ABQ,SFO,0,0,0,0,17,0,0,17
ABQ,SFO,0,0,3,0,12,0,0,15
ABQ,SFO,0,0,,,,,,5
ABQ,SFO,0,0,,,,,,-13
ABQ,SFO,0,0,,,,,,-9
ABQ,SFO,0,0,,,,,,-18
ABQ,SFO,0,0,,,,,,-4
ABQ,SFO,0,0,,,,,,-22
ABQ,SFO,0,0,,,,,,-16
ABQ,SFO,0,0,0,0,0,0,59,59
ABQ,SFO,0,0,,,,,,-2
ABQ,SFO,0,0,,,,,,-10
ABQ,SFO,0,0,,,,,,-25
ABQ,SFO,0,0,,,,,,-35
ABQ,SFO,0,0,,,,,,-6
ABQ,SFO,0,0,0,0,50,0,8,58
ABQ,SFO,0,0,0,0,45,0,0,45
ABQ,SFO,0,0,0,0,52,0,9,61
ABQ,SFO,0,0,0,0,26,0,0,26
ABQ,SFO,0,0,0,0,90,0,4,94
ABQ,SFO,0,0,0,0,15,0,0,15
ABQ,SFO,0,0,,,,,,14
ABQ,SFO,0,0,0,0,0,0,41,41
ABQ,SFO,0,0,,,,,,-12
ABQ,SFO,0,0,,,,,,-9
ABQ,SFO,0,0,,,,,,1
ABQ,SFO,0,0,,,,,,3
ABQ,SFO,0,0,,,,,,-25
ABQ,SFO,0,0,,,,,,-31
ABQ,SFO,0,0,,,,,,-38
ABQ,LAX,0,0,15,0,5,0,0,20
ABQ,LAX,0,0,,,,,,-9
ABQ,LAX,0,0,,,,,,-9
ABQ,LAX,0,0,,,,,,-9
ABQ,LAX,0,0,,,,,,8
ABQ,LAX,0,0,,,,,,-13
ABQ,LAX,0,0,,,,,,5
ABQ,LAX,0,0,,,,,,-20
ABQ,LAX,0,0,,,,,,-20
ABQ,LAX,0,0,,,,,,-20
ABQ,LAX,0,0,0,0,15,0,0,15
ABQ,LAX,0,0,0,0,20,0,0,20
ABQ,LAX,0,0,,,,,,-28
ABQ,LAX,0,0,,,,,,3
ABQ,LAX,0,0,,,,,,-8
ABQ,LAX,0,0,,,,,,14
ABQ,LAX,0,0,,,,,,-23
ABQ,LAX,0,0,,,,,,-17
ABQ,LAX,0,0,,,,,,-9
ABQ,LAX,0,0,,,,,,2
ABQ,LAX,0,0,,,,,,-14
ABQ,LAX,0,0,,,,,,-14
ABQ,LAX,0,0,,,,,,-12
ABQ,LAX,0,0,,,,,,-16
ABQ,LAX,0,0,,,,,,-15
ABQ,LAX,0,0,,,,,,4
ABQ,LAX,0,0,,,,,,-12
ABQ,LAX,0,0,,,,,,-9
ABQ,LAX,0,0,,,,,,4
ABQ,LAX,0,0,0,0,0,0,18,18
ABQ,LAX,0,0,0,0,18,0,0,18
ABQ,LAX,0,0,,,,,,-8
ABQ,LAX,0,0,,,,,,-1
ABQ,LAX,0,0,,,,,,5
ABQ,LAX,0,0,,,,,,-12
ABQ,LAX,0,0,,,,,,-16
ABQ,LAX,0,0,,,,,,12
ABQ,LAX,0,0,,,,,,-9
ABQ,LAX,0,0,,,,,,5
ABQ,LAX,0,0,6,0,13,0,4,23
ABQ,LAX,0,0,,,,,,-10
ABQ,LAX,0,0,,,,,,8
ABQ,LAX,0,0,,,,,,0
ABQ,LAX,0,0,,,,,,-5
ABQ,LAX,0,0,,,,,,-6
ABQ,LAX,0,0,,,,,,-6
ABQ,LAX,0,0,,,,,,5
ABQ,LAX,0,0,,,,,,-2
ABQ,LAX,0,0,,,,,,-10
ABQ,LAX,0,0,0,0,0,0,209,209
ABQ,LAX,0,0,,,,,,7
ABQ,LAX,0,0,53,0,0,0,0,53
ABQ,LAX,0,0,,,,,,-4
ABQ,LAX,0,0,,,,,,3
ABQ,LAX,0,0,0,0,0,0,145,145
ABQ,LAX,0,0,,,,,,-5
ABQ,LAX,0,0,,,,,,0
ABQ,LAX,0,0,,,,,,4
ABQ,LAX,0,0,0,0,7,0,20,27
ABQ,LAX,0,0,,,,,,1
ABQ,LAX,0,0,,,,,,-12
ABQ,LAX,0,0,,,,,,12
ABQ,LAX,0,0,,,,,,2
ABQ,LAX,0,0,,,,,,-2
ABQ,LAX,0,0,,,,,,-9
ABQ,OAK,0,0,4,0,0,0,11,15
ABQ,OAK,0,0,0,0,0,0,22,22
ABQ,SAN,0,0,,,,,,1
ABQ,SAN,0,0,65,0,0,0,13,78
ABQ,LAX,0,0,,,,,,-17
ABQ,LAX,0,0,24,0,6,0,18,48
